KIT;KIT2;Poste;Fileiras;Graus;Região;Módulo;Módulos;Qtd;Produto;Custo Unit;Custo Total;Custo/Mód;Preço S/ Impostos;TABELA PREÇO;Majorado;Tabela 18%;Tabela 7%;PREÇO DA MESA /MÓDULO
;SOLO 2 FILEIRAS BIPOSTE 10 GRAUS REGIAO 1 ;Biposte;2;10;1;1134;80;156;PSGRAMPINTSMART2;0.7;109.51;1.37;2.24;2.47;2.75;3.08;2.68;140.28999999999996
;SOLO 2 FILEIRAS BIPOSTE 10 GRAUS REGIAO 1 ;Biposte;2;10;1;1134;80;8;SOLOGRAMPTERM1;1.25;10.02;0.13;0.21;0.23;0.25;0.28;0.25;140.28999999999996
SOLO 2 FILEIRAS BIPOSTE 10 GRAUS REGIAO 1 1303;SOLO 2 FILEIRAS BIPOSTE 10 GRAUS REGIAO 1 ;Biposte;2;10;1;1303;80;16;PTM10BIPOSTE02;222.53;3560.49;44.51;72.96;80.4;89.33;100.29;87.12;167.78
;SOLO 2 FILEIRAS BIPOSTE 10 GRAUS REGIAO 1 ;Biposte;2;10;1;1303;80;4;SL002C407X000BRT;62.47;249.88;3.12;5.12;5.64;6.27;7.04;6.11;167.78
;SOLO 2 FILEIRAS BIPOSTE 10 GRAUS REGIAO 1 ;Biposte;2;10;1;1303;80;56;SL002C350X000BRT;53.72;3008.39;37.6;61.65;67.93;75.48;84.74;73.61;167.78
;SOLO 2 FILEIRAS BIPOSTE 10 GRAUS REGIAO 1 ;Biposte;2;10;1;1303;80;56;EFSALJUNCAO400;3.91;218.78;2.73;4.48;4.94;5.49;6.16;5.35;167.78
;SOLO 2 FILEIRAS BIPOSTE 10 GRAUS REGIAO 1 ;Biposte;2;10;1;1303;80;16;EFSALKITTRAV02;17.07;273.12;3.41;5.6;6.17;6.85;7.69;6.68;167.78
;SOLO 2 FILEIRAS BIPOSTE 10 GRAUS REGIAO 1 ;Biposte;2;10;1;1303;80;156;PSGRAMPINTSMART2;0.7;109.51;1.37;2.24;2.47;2.75;3.08;2.68;167.78
;SOLO 2 FILEIRAS BIPOSTE 10 GRAUS REGIAO 1 ;Biposte;2;10;1;1303;80;8;SOLOGRAMPTERM1;1.25;10.02;0.13;0.21;0.23;0.25;0.28;0.25;167.78
SOLO 2 FILEIRAS  BIPOSTE 15 GRAUS REGIAO 1 1134;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1134;80;14;PTM15BIPOSTE01;225.48;3156.7;39.46;64.69;71.28;79.2;88.92;77.24;148.1
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1134;80;4;SL002C200X000BRT;30.7;122.79;1.53;2.52;2.77;3.08;3.46;3.0;148.1
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1134;80;44;SL002C407X000BRT;62.47;2748.69;34.36;56.33;62.07;68.96;77.42;67.25;148.1
